Year,PT_EN,PT_FR,Number,Rate_per_100000
2020,Canada,Canada,"4,152",10.9
2020,British Columbia,Colombie-Britannique,365,6.9
2020,Alberta,Alberta,615,14.3
2020,Saskatchewan,Saskatchewan,198,17.6
2020,Manitoba,Manitoba,187,13.9
2020,Ontario,Ontario,1419,9.6
2020,Quebec,Québec,1068,12.2
2020,New Brunswick,Nouveau-Brunswick,92,11.8
2020,Nova Scotia,Nouvelle-Écosse,108,11
2020,Prince Edward Island,Île-du-Prince-Édouard,7,4.1
2020,Newfoundland and Labrador,Terre-Neuve-et-Labrador,58,10.9
2020,Yukon,Yukon,NA,NA
2020,Northwest Territories,Territoires du Nord-Ouest,5,11.5
2020,Nunavut,Nunavut,30,72.2